brand, product_name, shipping
ASUS,ASUS ROG GeForce GTX 1080 Ti DirectX 12 STRIX-GTX1080TI-11G-GAMING Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Mini| ZT-P10800H-10P| 8GB GDDR5X IceStorm Cooling| Dual Fans| 90mm Pressure Optimized Fan| 100mm Maximum Airflow Optimized Fan| Direct GPU Copper Block Contact| Metal Back Plate,Free Shipping
EVGA,EVGA GeForce GTX 1070 Ti FTW2 GAMING 08G-P4-6775-KR| 8GB GDDR5 iCX - 9 Thermal Sensors & RGB LED G/P/M,Free Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 Ti GAMING 8G,Free Shipping
XFX,XFX Radeon RX 580 DirectX 12 RX-580P427D6 GTS XXX Edition Video Card w/ Backplate,Free Shipping
EVGA,EVGA GeForce GTX 1060 SC GAMING| ACX 2.0 (Single Fan)| 03G-P4-6162-KR| 3GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 GAMING X 4G Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme Core 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810F-10P,$4.99 Shipping
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 Ti FTW3 GAMING| 11G-P4-6696-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M,$4.99 Shipping
